,Random Forest,Support Vector Machine,Logistic Regression,Gradient Boosting,AdaBoost,XGBoost,Average
Recency,0.032,0.0515,0.1109,0.0468,0.0905,0.0677,0.0666
CustomerTenure,0.0277,0.0423,0.1269,0.0384,0.0919,0.045,0.062
NumStorePurchases,0.0156,0.059,0.0953,0.0216,0.0681,0.0358,0.0493
HasPartner,0.0376,0.0,0.0788,0.0425,0.0581,0.0571,0.0457
MntMeatProducts,0.016,0.067,0.0726,0.0227,0.0523,0.0292,0.0433
Teenhome,0.0267,0.0,0.0755,0.032,0.0605,0.032,0.0378
AcceptedCmp3,0.0213,0.0266,0.0,0.0208,0.0388,0.0307,0.023
AcceptedCmp1,0.0247,0.0,0.045,0.0261,0.0,0.0333,0.0215
NumCatalogPurchases,0.0155,0.0,0.0433,0.0,0.0528,0.0,0.0186
MntFishProducts,0.0,0.0265,0.0,0.0,0.0462,0.0,0.0121
NumWebVisitsMonth,0.0,0.0256,0.0,0.0201,0.0,0.026,0.0119
AcceptedCmp5,0.0222,0.0,0.0,0.0199,0.0,0.0215,0.0106
MntWines,0.0,0.0597,0.0,0.0,0.0,0.0,0.0099
NumWebPurchases,0.0,0.0,0.0515,0.0,0.0,0.0,0.0086
MntSweetProducts,0.0,0.0492,0.0,0.0,0.0,0.0,0.0082
